location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,National,Business,Full Time,Any,3-5 years,BA,Position Title: Country Partnership and Business Development Manager,"3-5 Years of professional experience in successfully managing partnership and business development activities, preferably in Afghanistan or similar contexts."
Logar,National,Health Care,Full Time,Female,1-2 years,BA,Position Title: MHPSS Counsellor (Female only),
Jawzjan,National,Program/Project,Full Time,Any,2 years,BA,Position Title: Social Behavior Change/Social Worker,
Nangarhar,National,Program/Project,Full Time,Any,2 years,HS,"Position Title: Risk Education Facilitator ""Couple""(Jalalabad)",2 years experience in EORE (Explosive Ordnance Risk Education)
Nuristan,National,Program/Project,Full Time,Any,2 years,HS,Position Title: Risk Education Facilitator (Couple),2 years experience in EORE (Explosive Ordnance Risk Education)
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Donor & Grants Coordinator,
Badakhshan,National,Program/Project,Full Time,Any,5years,BA,Position Title: Area Coordinator,Ability to communicate with all levels in the organization and external stakeholders openly and transparently
Helmand,National,Other,Full Time,Any,2-years,BA,Position Title: Pharmacy Officer,
Kabul,National,Purchasing-Procurement,Full Time,Any,7 years,BA,Position Title: Procurement Specialist,"Ability to cope well under pressure, work irregular hours and meet tight deadlines"
Helmand,National,Other,Full Time,Any,5 years,BA,Position Title: Admin-Finance Officer,
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: Finance Specialist,"Ability to cope well under pressure, work irregular hours and meet tight deadlines"
Khost,National,Health Care,Full Time,Female,5years,MA,Position Title: Quality Improvement Officer/ Ob/Gyn Specialist (Re Announced) (Re Announced) (Re Announced),
Kunar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO)- Sarkani,Marawara",
Kabul,National,Business,Full Time,Any,1 year,BA,Position Title: Admin Assistant,Excellent knowledge of Written communication and Verbal communication
Kunar,National,Program/Project,Full Time,Any,5years,BA,Position Title: District Communication Officer (DCO) - Sheegal-wa-Shultan & Bar Kunar,
Kabul,National,Business,Full Time,Any,2  years,BA,Position Title: National Human Resources Officer (TPC),Teamwork: develops and promotes effective collaboration within and across units to achieve shared goals and optimize results.
Herat,National,Program/Project,Full Time,Female,2 years,BA,Position Title: Village Savings and Loans Association (VSLA) Officer,
Paktia,National,Business,Full Time,Male,2 years,BA,Position Title: Reporting Officer (Subject to Donor Fund) (Re Announced),
Kunar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Watapor, Chapadara & Pech",
Kabul,Any,Other,Full Time,Any,6 years,MA,Position Title: Senior Manager Program Development,
Balkh,National,Other,Full Time,Female,2  years,HS,Position Title: Female Nutrition Counsellor,
Kabul,National,Business,Full Time,Any,4 years,BA,Position Title: Regional HR Officer,Actively seeks knowledge of HR trends and technology to incorporate into their work.
Kabul,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Training Coordinator / Master Trainer,Professionalism and Respectfulness
Kabul,National,Banking/Accounting,Full Time,Male,5 years,BA,Position Title: Chief Risk Officer (CRO) (Re Announced),
Kapisa,National,Health Care,Full Time,Female,1 year,VD,Position Title: Medical Laboratory Technician ,Medical Diploma 
Herat,National,Program/Project,Full Time,Any,1 Year,BA,Position Title: Protection Monitoring and Case Management Worker (PMCMW),"Good written and oral communication skills, effective in representation and liaison with external parties (required)."
Kapisa,National,Health Care,Full Time,Female,1 year,VD,Position Title: Pharmacist,Pharmacy Diploma
Paktia,National,Health Care,Full Time,Female,1 year,VD,Position Title: Medical Laboratory Technician ,Medical Diploma 
Nimruz,National,Program/Project,Full Time,Any,1 Year,BA,Position Title: Protection Monitoring and Case Management Worker (PMCMW),At least one year of relevant professional experience in the protection sector
